distance,basis,orientation,rounds,decoder,model,shots,ler,ler_per_cycle,decode_seconds,note
7,X,q6_7,1,mwpm,-,50000,0.00068,0.0006800000000000139,0.018619984039105475,
7,X,q6_7,1,mwpm-rl,-,50000,0.00058,0.0005800000000000249,0.020158412982709706,
7,X,q6_7,10,mwpm,-,50000,0.0342,0.0035300667126378915,0.6089792000129819,
7,X,q6_7,10,mwpm-rl,-,50000,0.03302,0.0034044403162155623,0.636810283001978,
7,X,q6_7,13,mwpm,-,50000,0.04592,0.0036914864225930932,0.8229502430185676,
7,X,q6_7,13,mwpm-rl,-,50000,0.04466,0.003585685129167071,0.8652062739711255,
7,X,q6_7,30,mwpm,-,50000,0.12072,0.004584410157758623,2.1632096099783666,
7,X,q6_7,30,mwpm-rl,-,50000,0.11432,0.0043080019619359256,2.321897640998941,
7,X,q6_7,50,mwpm,-,50000,0.16728,0.004056523102922427,3.4830204289755784,
7,X,q6_7,50,mwpm-rl,-,50000,0.16376,0.003952126972631642,3.7516826459905133,
7,X,q6_7,70,mwpm,-,50000,0.24804,0.004871384018618141,5.299783156020567,
7,X,q6_7,70,mwpm-rl,-,50000,0.23668,0.0045593569917558585,5.686698156991042,
7,X,q6_7,90,mwpm,-,50000,0.2814,0.004575406630786871,6.668006477993913,
7,X,q6_7,90,mwpm-rl,-,50000,0.27298,0.004367314647647003,7.189553404983599,
7,X,q6_7,110,mwpm,-,50000,0.31404,0.004475650486075511,8.5150362419663,
7,X,q6_7,110,mwpm-rl,-,50000,0.30572,0.004278442923628667,9.24953012104379,
7,X,q6_7,130,mwpm,-,50000,0.3551,0.004741087627238849,10.451526609947905,
7,X,q6_7,130,mwpm-rl,-,50000,0.34624,0.004514934710635965,11.133904992952012,
7,X,q6_7,150,mwpm,-,50000,0.3674,0.004404720470347789,11.827863898011856,
7,X,q6_7,150,mwpm-rl,-,50000,0.3625,0.004284815392389396,12.603153832955286,
7,X,q6_7,170,mwpm,-,50000,0.4081,0.0049573407331625075,14.307689715991728,
7,X,q6_7,170,mwpm-rl,-,50000,0.40174,0.004762441946189078,15.210172534978483,
7,X,q6_7,190,mwpm,-,50000,0.41646,0.00468653642130501,16.436806245008484,
7,X,q6_7,190,mwpm-rl,-,50000,0.41178,0.004544418070994205,17.362907736969646,
7,X,q6_7,210,mwpm,-,50000,0.41174,0.004112331368101296,16.537218051962554,
7,X,q6_7,210,mwpm-rl,-,50000,0.41098,0.004092084428591991,17.554799353005365,
7,X,q6_7,230,mwpm,-,50000,0.44224,0.004670035755199253,19.595603957015555,
7,X,q6_7,230,mwpm-rl,-,50000,0.43818,0.0045237185686031745,20.91453544597607,
7,X,q6_7,250,mwpm,-,50000,0.43966,0.004211389702927282,20.787190506001934,
7,X,q6_7,250,mwpm-rl,-,50000,0.43414,0.004037761814434049,22.237292130012065,
